number of clients 10
number of barbers 3
size of sofa 8

Client 0 at sofa
Barber 0 take 0
Client 1 at sofa
Barber 1 take 1
Client 2 at sofa
Barber 2 take 2
Client 3 at sofa
Client 4 at sofa
Client 5 at sofa
Client 6 at sofa
Client 7 at sofa
Client 8 at sofa
Client 9 at sofa
Barber 0 done 0
Barber 0 take 3
Barber 2 done 2
Barber 1 done 1
Barber 2 take 4
Barber 1 take 5
Barber 0 done 3
Barber 0 take 6
Barber 1 done 5
Barber 1 take 7
Barber 2 done 4
Barber 2 take 8
Barber 0 done 6
Barber 0 take 9
Barber 1 done 7
Barber 2 done 8
Barber 0 done 9
